id,height,hair_color,eye_color,age
1,73,blond,brown,25
2,70,brown,green,23
3,56,blond,blue,27
4,57,brown,brown,
5,64,red,green,35
6,69,brown,green,40
7,69,blond,blue,45
8,67,brown,blue,50
9,64,blond,brown,60
10,74,blond,brown,18
11,73,brown,brown,25
12,60,brown,green,23
13,61,blond,,27
14,70,brown,brown,35
15,71,,green,40
16,60,red,green,45
17,80,blond,blue,41
18,75,brown,blue,50
19,78,brown,brown,60
20,69,brown,brown,18
21,66,brown,brown,25
22,74,blond,green,23
23,,blond,blue,27
